state_abbr,county_name,venue_rating,fips
IN,Hancock,Neutral,18059
IN,Harrison,Neutral,18061
IN,Hendricks,Neutral,18063
IN,Henry,Defense,18065
IN,Howard,Neutral,18067
IN,Huntington,Defense,18069
IN,Jackson,Defense,18071
IN,Jasper,Defense,18073
IN,Jay,Defense,18075
IN,Jefferson,Defense,18077
IN,Jennings,Defense,18079
IN,Johnson,Neutral,18081
IN,Knox,Defense,18083
IN,Kosciusko,Defense,18085
IN,La Porte,Neutral,18091
IN,Lagrange,Defense,18087
IN,Lake,Plaintiff,18089
IN,Lawrence,Defense,18093
IN,Madison,Plaintiff,18095
IN,Marion,Plaintiff,18097
IN,Marshall,Neutral,18099
IN,Martin,Defense,18101
IN,Miami,Defense,18103
IN,Monroe,Plaintiff,18105
IN,Montgomery,Defense,18107
IN,Morgan,Defense,18109
IN,Newton,Defense,18111
IN,Noble,Defense,18113
IN,Ohio,Defense,18115
IN,Orange,Defense,18117
IN,Owen,Defense,18119
